day,p5,p25,p50,p75,p95
100,11291.912366107015,12806.060184042275,13848.13605462548,14964.915762623177,16524.80850633169
101,11322.019279573138,12839.253840060706,13892.128238460478,14996.255075338433,16575.918227589747
102,11339.949360063023,12862.888822746087,13930.135060597442,15059.239415380356,16601.58736713128
103,11356.506069173873,12905.06757232892,13971.518948311656,15087.030069387542,16650.767111172456
104,11388.48369692947,12944.503696882937,14009.46415071041,15131.917389851793,16726.022823715095
105,11392.994595239588,12979.010979648745,14047.648709434903,15178.334364249786,16771.281387046078
106,11415.768566018345,13003.182160396229,14093.361045288286,15222.125577362498,16829.644345612392
107,11446.396382473366,13045.268868744282,14135.26557518735,15258.166434900157,16874.262570178784
108,11495.098660283626,13080.374171350622,14174.513508471002,15303.839637774934,16910.34814265036
109,11511.415604809106,13112.229502741055,14223.59856226269,15348.27649283593,16976.529904923274
110,11546.41951029135,13144.84376690043,14274.274310224024,15381.056799795366,17030.08286110146
111,11564.255478045066,13177.373059799123,14308.103080694773,15430.562673836004,17087.223075188947
112,11621.733410708974,13197.066025498867,14338.749669139721,15473.07797291637,17119.788389238875
113,11651.366597239446,13250.120044418321,14372.744855316596,15521.469077106767,17177.481538942026
114,11668.559007047412,13296.937638731444,14414.588284575271,15560.96518520464,17222.9499837187
115,11675.308116094791,13321.270215427614,14457.407881465,15612.907925871123,17268.40050337759
116,11698.993430644485,13355.782042850311,14490.798478186181,15657.873898683783,17308.545099604395
117,11730.009711967601,13387.24804181882,14531.272495758365,15693.097378155268,17382.903778226228
118,11779.283908852796,13433.383268956468,14580.390320924627,15744.100708235677,17428.474662295528
119,11810.578531698015,13468.718621686357,14614.5432672079,15793.127160669726,17463.13797963336
120,11853.663059616953,13504.139091581801,14651.229646156195,15826.14544314505,17545.59547053807
121,11850.177294633782,13535.04338670976,14693.675561162983,15881.814745001095,17587.246908889367
122,11872.68198875903,13571.16030158661,14732.124858518886,15935.894928222553,17637.512848090664
123,11926.491677156298,13606.343917833863,14769.576030951961,15974.184514226388,17706.601528941534
124,11958.728551094926,13640.644817942326,14815.956313299794,16026.637963091729,17718.05025606611
125,11966.143771762323,13665.792557360013,14872.612837253278,16069.545742814382,17799.589115867573
126,12012.319687262727,13707.684664606446,14901.479122430204,16117.558917593187,17831.944884611006
127,12023.973591783879,13750.858889850078,14931.466023641096,16162.959454885302,17883.273074669763
128,12029.130556037371,13775.228448016931,14967.202528458269,16205.500724083964,17914.694370230296
129,12057.036884307536,13820.312775475737,15009.227807298332,16236.720554620439,17970.692190147263
130,12083.927021475913,13862.40944756236,15043.964957551298,16284.155928012917,18027.68075932012
131,12125.524869748204,13902.45009389948,15081.085813524449,16341.360875288106,18071.158394396647
132,12131.969951239853,13941.764479535977,15123.363878593509,16381.093563314265,18140.158033201824
133,12181.280235257405,13975.386048232562,15158.086680600467,16419.208704401717,18198.901304210147
134,12207.483280291508,14008.974178785487,15202.800358272474,16464.467787098612,18233.839987660907
135,12252.327127069391,14038.18279930669,15249.671841711563,16510.680769481063,18310.43051223567
136,12271.960905396712,14067.197245663225,15310.208600531263,16540.62071774481,18362.71166458185
137,12306.31413948047,14093.992546226753,15342.125085089308,16589.433616895007,18409.930427753847
138,12339.498850736165,14125.597755218469,15387.044416791316,16645.427655172876,18457.182346926358
139,12357.406919878576,14156.391621816274,15429.558152119273,16699.005163557085,18523.755280066936
140,12397.539789094097,14188.12318173883,15482.494371332346,16727.750906494897,18565.839664340892
141,12413.615874898425,14226.97743150771,15520.244583690372,16783.316271738728,18600.22012291398
142,12451.70070411751,14268.95143186061,15555.480433076264,16831.580421508268,18636.499639521728
143,12496.675992561011,14296.607831521213,15589.207840478628,16863.617943313642,18695.376761413816
144,12515.13581301665,14342.38183311626,15635.200319616357,16908.05682207532,18747.92967864313
145,12552.79459291887,14382.27638266181,15667.992550839506,16962.241584943913,18788.57090697394
146,12579.434481080796,14409.623605425673,15717.819300032876,17001.14673903317,18844.497746701392
147,12618.104366655625,14453.144050480303,15750.07194516967,17040.553336385343,18898.00521599041
148,12650.774612115853,14491.97466171388,15787.753751591757,17092.4148408776,18961.957666623544
149,12682.982255384692,14529.654529294727,15829.75560774373,17126.135926137365,18995.46610057382
150,12721.256715976087,14553.024216055243,15873.570161309151,17170.380811085262,19067.495747918172
151,12764.112655098568,14590.310428107128,15906.784752689338,17212.689355309914,19119.127572432888
152,12792.52596077443,14625.46591145197,15944.892395090868,17251.340227524466,19149.655683194695
153,12816.43170107989,14643.612463586243,15972.58718276727,17295.890321979663,19199.655938792763
154,12826.826567502703,14690.164538109399,16017.232855549752,17344.520000803695,19275.63418509032
155,12858.86029456739,14712.270259570432,16063.930683801647,17401.32179982506,19315.298076408806
156,12896.768535302417,14753.61047670408,16098.91984532919,17460.78530353986,19357.783376593805
157,12936.003987077795,14802.399564289739,16152.65515127308,17500.632229841292,19408.41634691415
158,12968.47695509707,14840.860546310138,16177.948859445763,17535.690245492537,19444.76456147551
159,12998.540448328547,14871.077318716973,16214.380453332202,17568.268478001428,19517.27828439089
