trade_number,equity_p1_path,equity_p5_path,equity_p95_path
102,12971.567404246547,12776.834025984841,14885.57011549325
103,12994.357117037258,12787.686571498492,14952.877026062357
104,12854.357117037258,12806.37433156119,15069.284990708069
105,12906.999143649455,12951.361480289128,15199.617477458465
106,12959.641170261653,12960.893045400713,15235.712287180675
107,12819.641170261653,12971.91363600926,15267.471510680154
108,12841.592389773848,13057.098821194446,15167.471510680154
109,12873.351613273328,13064.625702914875,15216.846042864494
110,12884.204158786979,13114.000235099216,15361.37905626102
111,12744.204158786979,13179.408275381164,15370.910621372605
112,12644.204158786979,13079.408275381164,15391.848809779294
113,12836.691509525695,13146.715185950268,15407.821029607832
114,12850.971544203314,13046.715185950268,15524.228994253546
115,12730.971544203314,13057.65013540452,15539.835930669731
116,12610.971544203314,13064.672252922785,15799.317497490007
117,12510.971544203314,12924.672252922785,15679.317497490007
118,12532.922763715509,13116.195042285442,15690.338088098553
119,12594.213086296155,13162.180443745297,15796.393760895258
120,12724.545573046551,13183.118632151989,15861.801801177204
121,12747.33528583726,13398.148935182291,16079.262118637522
122,12891.868299233785,13542.681948578815,16123.909520991103
123,12901.39986434537,13551.971566065155,15983.909520991103
124,12976.838463914468,13451.971566065155,16176.39687172982
125,13083.024030924778,13331.971566065155,16321.384020457757
126,13168.209216109963,13344.302836327459,16221.384020457757
127,13235.51612667907,13535.825625690117,16232.318969912008
128,13376.065021363402,13435.825625690117,16265.341203548724
129,13385.354638849742,13335.825625690117,16165.341203548724
130,13285.354638849742,13360.669619904156,16310.328352276661
131,13330.002041203321,13220.669619904156,16951.069093017402
132,13345.369768159593,13233.663970186642,16851.069093017402
133,13205.369768159593,13378.125123068847,16751.069093017402
134,13105.369768159593,13422.772525422428,16773.0203125296
135,13117.101611735012,13322.772525422428,16819.005713989452
136,13128.83345531043,13338.1402523787,16832.00006427194
137,13271.193902496978,13349.872095954119,16842.93501372619
138,13387.60186714269,13209.872095954119,16848.859499443195
139,13247.60186714269,13427.332413414437,16748.859499443195
140,13507.083433962966,13505.378225265837,16648.859499443195
141,13528.021622369657,13552.818855615475,16548.859499443195
142,13428.021622369657,13567.104569901188,16741.34685018191
143,13328.021622369657,13427.104569901188,16621.34685018191
144,13627.48566709686,13327.104569901188,16766.33399890985
145,13768.034561781193,13338.125160509735,16872.51956592016
146,13628.034561781193,13382.772562863316,16917.16696827374
147,13773.02171050913,13418.867372585526,16777.16696827374
148,13673.02171050913,13442.922872275993,16677.16696827374
149,13682.31132799547,13510.2297828451,16710.189201910456
150,13827.298476723408,13370.2297828451,16570.189201910456
151,13727.298476723408,13384.529141199964,16470.189201910456
152,13762.946432371364,13398.82849955483,16488.04848913217
153,13893.27891912176,13298.82849955483,16618.380975882563
154,13904.213868576011,13314.435435971014,16994.57145207304
155,14010.399435586321,13381.74234654012,16894.57145207304
156,14017.421553104587,13526.203499422325,16794.57145207304
157,14070.063579716785,13426.203499422325,16829.265774691965
158,13970.063579716785,13440.502857777192,16843.565133046828
159,14081.887479087854,13340.502857777192,16988.026285929034
160,14149.194389656961,13425.809353303463,16888.026285929034
161,14164.562116613233,13652.309480681806,17032.55929932556
162,14175.58270722178,13714.287502659829,16932.55929932556
163,14075.58270722178,13854.836397344161,17345.564433726042
164,14142.889617790885,13902.277027693799,17380.258756344963
165,14208.297658072832,13936.971350312724,17280.258756344963
166,14338.63014482323,13978.815321943928,17495.289059375267
167,14349.650735431776,13878.815321943928,17509.569094052888
168,14411.628757409799,13893.114680298793,17610.43851015509
169,14477.036797691744,13793.114680298793,17510.43851015509
170,14377.036797691744,13810.973967520506,17616.6240771654
171,14277.036797691744,13917.159534530814,17757.172971849734
172,14323.0221991516,13926.6910996424,17657.172971849734
173,14183.0221991516,13826.6910996424,17668.90481542515
174,14196.016549434085,13971.152252524606,17730.195138005798
175,14211.603633649878,13982.813511257687,17748.054425227507
176,14247.698443372088,13842.813511257687,17758.989374681758
177,14271.753943062555,13948.999078267996,17774.35710163803
178,14362.562023870636,13994.98447972785,17867.64459434381
179,14371.851641356974,14019.039979418318,17984.052558989522
180,14381.141258843314,14245.54010679666,18028.699961343103
181,14420.831316684633,14145.54010679666,17888.699961343103
182,14610.6863891484,14005.54010679666,17979.50804215118
183,14660.06092133274,14016.47505625091,18064.814537677456
184,14671.792764908161,14081.883096532858,18089.658531891495
185,14733.864355215044,14099.742383754568,18195.7142046882
186,14749.451439430837,14114.022418432189,18495.178249415403
187,14609.451439430837,14132.710178494886,18375.178249415403
188,14670.741762011483,14032.710178494886,18601.678376793745
189,14570.741762011483,14048.682398323424,18501.678376793745
190,14606.836571733693,14266.14271578374,18401.678376793745
191,14466.836571733693,14166.14271578374,18415.977735148612
192,14326.836571733693,14066.14271578374,18315.977735148612
